"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2021";5400,52;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2002";1839,46;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2003";1895,91;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2004";1969,15;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2005";2047,26;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2006";2171,05;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2007";2341,57;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2008";2571,82;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2009";2732,06;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2010";2847,71;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2011";3021,20;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2012";3125,06;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2013";3244,90;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2014";3332,27;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2015";3450,42;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2016";3561,24;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2017";3786,14;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2018";4049,05;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2019";4378,62;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2020";4684,71;"zł";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2021";5109,47;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2002";2393,29;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2003";2318,65;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2004";2428,79;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2005";2567,76;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2006";2703,19;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2007";2949,84;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2008";3278,76;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2009";3417,48;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2010";3544,56;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2011";3748,67;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2012";3865,57;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2013";3973,17;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2014";4124,38;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2015";4327,24;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2016";4439,44;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2017";4684,88;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2018";5007,07;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2019";5443,87;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2020";5706,83;"zł";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2021";6236,00;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2002";2524,78;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2003";2819,52;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2004";3002,48;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2005";3112,87;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2006";3255,95;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2007";3443,94;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2008";3823,86;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2009";4090,32;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2010";4168,16;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2011";4551,91;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2012";4543,87;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2013";4797,17;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2014";4753,73;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2015";4812,37;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2016";4849,77;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2017";4911,57;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2018";5254,56;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2019";5687,92;"zł";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2020";6011,02;"zł";"";
