"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2016";2833;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2017";2826;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2018";3283;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2019";3640;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2020";3895;"zł";"";
023015700000;"PODREGION KALISKI";"ogółem";"ogółem";"2021";4277;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2010";2905;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2011";2716;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2012";2857;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2013";2990;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2014";2938;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2015";3036;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2016";3309;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2017";3401;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2018";3296;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2019";3667;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2020";3939;"zł";"";
023015800000;"PODREGION KONIŃSKI";"ogółem";"ogółem";"2021";4285;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2010";2466;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2011";2582;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2012";2726;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2013";2727;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2014";2869;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2015";2893;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2016";2998;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2017";3145;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2018";3292;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2019";3582;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2020";3790;"zł";"";
023015900000;"PODREGION LESZCZYŃSKI";"ogółem";"ogółem";"2021";4058;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2010";2736;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2011";2581;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2012";2553;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2013";2597;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2014";2554;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2015";2791;"zł";"";
023016000000;"PODREGION PILSKI";"ogółem";"ogółem";"2016";2889;"zł";"";
