"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2014";107;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2015";107;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2016";107;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2017";107;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2018";107;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2019";107;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2020";107;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2021";107;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2002";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2003";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2004";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2005";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2006";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2007";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2008";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2009";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2010";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2011";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2012";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2013";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2014";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2015";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2016";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2017";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2018";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2019";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2020";108;"osoba";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2021";108;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2002";106;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2003";106;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2004";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2005";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2006";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2007";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2008";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2009";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2010";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2011";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2012";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2013";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2014";107;"osoba";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2015";107;"osoba";"";
