"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2022";4,9;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2004";17,8;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2005";16,1;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2006";13,1;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2007";8,8;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2008";6,4;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2009";8,8;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2010";9,1;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2011";9,0;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2012";9,8;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2013";10,1;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2014";8,8;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2015";7,5;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2016";5,8;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2017";4,8;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2018";4,2;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2019";3,2;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2020";4,5;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2021";4,0;"%";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2022";3,1;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2004";13,5;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2005";12,3;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2006";9,6;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2007";6,3;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2008";4,3;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2009";6,3;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2010";6,8;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2011";6,9;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2012";7,8;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2013";8,0;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2014";6,9;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2015";5,9;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2016";4,5;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2017";3,6;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2018";2,8;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2019";2,1;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2020";3,0;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2021";2,6;"%";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2022";2,2;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2004";16,7;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2005";15,2;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2006";12,2;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2007";8,8;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2008";6,2;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2009";8,6;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2010";9,1;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2011";9,3;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2012";9,7;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2013";10,1;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2014";9,0;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2015";8,1;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2016";6,9;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2017";5,3;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2018";4,2;"%";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2019";4,0;"%";"";
