"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2006";53922;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2007";55280;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2008";56924;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2009";58414;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2010";57913;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2011";57820;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2012";57168;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2013";55868;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2014";54767;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2015";53820;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2016";53521;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2017";53030;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2018";52139;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2019";50928;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2020";47085;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2021";44939;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"1995";43775;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"1996";43137;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"1997";42610;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"1998";42851;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"1999";41774;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2000";41985;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2001";42345;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2002";43123;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2003";44104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2004";45527;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2005";47059;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2006";48760;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2007";50369;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2008";52172;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2009";53558;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2010";56118;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2011";56964;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2012";57937;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2013";59188;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2014";59605;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2015";59496;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2016";59208;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2017";58677;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2018";57308;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2019";56245;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2020";56182;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"30-34";"ogółem";"2021";55305;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"1995";49127;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"1996";48466;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"1997";47488;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"1998";45840;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"1999";44065;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2000";43333;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2001";42633;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2002";42244;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2003";42371;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2004";42563;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2005";42862;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2006";43449;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2007";44467;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2008";45425;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2009";47257;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2010";50748;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2011";52837;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2012";54755;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2013";56259;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2014";57328;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2015";58416;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2016";59169;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2017";60028;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2018";61389;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2019";62071;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2020";65070;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"35-39";"ogółem";"2021";64926;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"1995";46803;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"1996";47608;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"1997";48727;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"1998";49464;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"1999";49331;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2000";48711;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2001";48024;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2002";46937;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2003";45530;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2004";44456;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2005";43870;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2006";43315;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2007";43038;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2008";43121;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2009";43295;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2010";44643;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2011";45572;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2012";46751;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2013";48174;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2014";50051;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2015";52047;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2016";54081;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2017";55914;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2018";57487;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2019";58780;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2020";63022;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"40-44";"ogółem";"2021";63917;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"1995";37942;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"1996";40333;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"1997";41976;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"1998";43529;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"1999";45049;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2000";46645;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2001";47247;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2002";48201;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2003";49074;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2004";49411;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2005";48906;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2006";48349;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2007";47321;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2008";45796;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2009";44666;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2010";44652;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2011";44260;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2012";44019;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2013";44262;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2014";44436;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2015";44923;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2016";45867;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2017";47031;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2018";48446;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2019";50440;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2020";54470;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"45-49";"ogółem";"2021";56908;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"1995";744987;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"1996";740675;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"1997";740537;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"1998";740666;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"1999";755355;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2000";758715;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2001";757942;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2002";757547;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2003";757685;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2004";757430;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2005";756629;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2006";756267;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2007";756583;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2008";754624;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2009";755000;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2010";757740;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2011";759137;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2012";758334;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2013";758992;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2014";761873;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2015";761069;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2016";765320;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2017";767348;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2018";771069;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2019";779115;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2020";800531;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2021";802583;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"1995";59065;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"1996";57978;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"1997";58517;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"1998";58846;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"1999";65494;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2000";63353;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2001";59372;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2002";55170;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2003";52563;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2004";49901;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2005";47220;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2006";45423;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2007";44268;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2008";41783;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2009";39871;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2010";38716;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2011";33667;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2012";33401;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2013";32461;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2014";31522;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2015";30754;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2016";30546;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2017";30093;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2018";29791;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2019";30556;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2020";27698;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"ogółem";"2021";28065;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"1995";69337;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"1996";68762;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"1997";71182;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"1998";72732;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"1999";78037;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2000";80645;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2001";80462;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2002";81226;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2003";80879;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2004";78785;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2005";74817;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2006";70231;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2007";65482;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2008";61757;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2009";58074;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2010";61805;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"ogółem";"2011";60200;"osoba";"";
