"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2005";5,4;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2006";5,7;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2007";6,6;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2008";6,4;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2009";6,4;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2010";6,0;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2011";5,2;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2012";5,4;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2013";5,0;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2014";4,8;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2015";5,1;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2016";5,2;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2017";5,4;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2018";5,1;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2019";5,1;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2020";4,0;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2021";4,7;"-";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2022";;"-";"n";
012414400000;"PODREGION BIELSKI";"ogółem";"2002";5,1;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2003";5,0;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2004";5,3;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2005";5,5;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2006";6,2;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2007";6,6;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2008";6,7;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2009";6,7;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2010";6,2;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2011";5,6;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2012";5,5;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2013";4,8;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2014";5,0;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2015";5,0;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2016";4,9;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2017";5,2;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2018";5,0;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2019";4,8;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2020";3,9;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2021";4,3;"-";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2022";;"-";"n";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2002";4,3;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2003";4,8;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2004";4,6;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2005";4,9;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2006";5,3;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2007";5,9;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2008";6,2;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2009";6,5;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2010";5,9;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2011";5,2;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2012";5,0;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2013";4,7;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2014";4,9;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2015";4,8;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2016";5,0;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2017";4,7;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2018";4,8;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2019";4,7;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2020";3,7;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2021";4,4;"-";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2022";;"-";"n";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2002";5,3;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2003";5,1;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2004";5,2;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2005";5,6;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2006";5,7;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2007";6,1;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2008";6,7;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2009";6,4;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2010";5,9;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2011";5,4;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2012";5,3;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2013";4,4;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2014";4,6;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2015";4,5;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2016";5,0;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2017";4,9;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2018";4,7;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2019";4,5;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2020";3,6;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2021";4,3;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"ogółem";"2022";;"-";"n";
012414700000;"PODREGION GLIWICKI";"ogółem";"2002";4,3;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2003";4,4;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2004";4,4;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2005";5,2;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2006";5,6;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2007";6,1;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2008";6,4;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2009";6,4;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2010";5,8;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2011";5,4;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2012";5,4;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2013";4,7;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2014";4,9;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2015";5,3;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2016";5,2;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2017";5,1;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2018";5,0;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2019";4,6;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2020";3,8;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2021";4,3;"-";"";
012414700000;"PODREGION GLIWICKI";"ogółem";"2022";;"-";"n";
012414800000;"PODREGION KATOWICKI";"ogółem";"2002";4,5;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2003";4,7;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2004";4,6;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2005";4,9;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2006";5,7;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2007";6,3;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2008";6,3;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2009";6,7;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2010";5,9;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2011";5,5;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2012";5,1;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2013";4,7;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2014";4,8;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2015";5,0;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2016";5,2;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2017";4,9;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2018";5,2;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2019";5,0;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2020";4,0;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2021";4,6;"-";"";
012414800000;"PODREGION KATOWICKI";"ogółem";"2022";;"-";"n";
012414900000;"PODREGION RYBNICKI";"ogółem";"2002";5,3;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2003";5,5;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2004";5,5;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2005";6,1;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2006";6,7;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2007";6,9;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2008";7,2;"-";"";
012414900000;"PODREGION RYBNICKI";"ogółem";"2009";7,3;"-";"";
