"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
012414600000;"PODREGION CZĘSTOCHOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";34;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";41;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";30;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";44;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";47;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";62;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";68;"-";"";
012414700000;"PODREGION GLIWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
012414700000;"PODREGION GLIWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
012414700000;"PODREGION GLIWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";59;"-";"";
012414700000;"PODREGION GLIWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";70;"-";"";
012414700000;"PODREGION GLIWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";75;"-";"";
012414700000;"PODREGION GLIWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";90;"-";"";
012414700000;"PODREGION GLIWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";127;"-";"";
012414700000;"PODREGION GLIWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";152;"-";"";
012414700000;"PODREGION GLIWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";194;"-";"";
012414700000;"PODREGION GLIWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";230;"-";"";
012414800000;"PODREGION KATOWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
012414800000;"PODREGION KATOWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
012414800000;"PODREGION KATOWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";93;"-";"";
012414800000;"PODREGION KATOWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";113;"-";"";
012414800000;"PODREGION KATOWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";129;"-";"";
012414800000;"PODREGION KATOWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";148;"-";"";
012414800000;"PODREGION KATOWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";191;"-";"";
012414800000;"PODREGION KATOWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";218;"-";"";
012414800000;"PODREGION KATOWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";262;"-";"";
012414800000;"PODREGION KATOWICKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";312;"-";"";
