"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2021";5,0;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2022";;"-";"n";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2002";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2003";;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2004";2,5;"-";"M";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2005";2,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2006";2,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2007";3,9;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2008";5,0;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2009";4,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2010";4,1;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2011";4,1;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2012";3,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2013";3,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2014";3,7;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2015";4,0;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2016";3,9;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2017";4,2;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2018";4,3;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2019";4,3;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2020";4,1;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2021";5,3;"-";"";
011212000000;"PODREGION KRAKOWSKI";"nowe budynki mieszkalne na 1000 ludności";"2022";5,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2002";4,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2003";5,4;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2004";5,9;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2005";6,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2006";8,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2007";6,5;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2008";8,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2009";13,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2010";6,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2011";6,4;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2012";9,0;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2013";9,2;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2014";9,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2015";8,5;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2016";12,3;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2017";14,4;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2018";12,5;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2019";16,8;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2020";12,7;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2021";12,6;"-";"";
011212100000;"PODREGION MIASTO KRAKÓW";"mieszkania oddane do użytkowania na 1000 ludności";"2022";;"-";"n";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2002";63,1;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2003";75,9;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2004";67,5;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2005";66,6;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2006";60,6;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2007";69,7;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2008";64,1;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2009";61,0;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2010";71,4;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2011";66,8;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2012";63,1;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2013";63,4;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2014";59,8;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2015";59,5;"m2";"";
011212100000;"PODREGION MIASTO KRAKÓW";"przeciętna powierzchnia użytkowa 1 mieszkania oddanego do użytkowania";"2016";57,5;"m2";"";
